username,location,text
NyleWitherspoon,"High Point, NC",@UberEats horrible resolution to my issue I got cold food and spent over $30 plus tip and between you and… https://t.co/ttW5pVT3D0
JRinPueblo,"Colorado, USA","RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
decodetweets,auckland | new zealand,"I think I use @UberEats too much, they keep giving me free delivery codes"
alec_pine,,"Follow this delicious delivery on Uber Eats https://t.co/E1DOc6lwRJ

Save on your first order by using my code eats… https://t.co/sdSN5Q2uDp"
kxu65,"Plainsboro, NJ","RT @TheBrometheus: Imagine if the right to trial by combat was enshrined in the US Bill of Rights.

Consider the impact on US fitness level…"
forthelifeofjae,"Minnesota, USA","RT @kingqueefy: If u have a problem with wearing a mask here’s some alternatives
1) don’t leave the fucking house 
2) use insta cart for gr…"
TheRealSousa,,I order wine through UberEats to her crib. https://t.co/qPdohH1MvZ
kingqueefy,"La Bay, Ca","If u have a problem with wearing a mask here’s some alternatives
1) don’t leave the fucking house 
2) use insta car… https://t.co/ONUcqqS1Y3"
Fightforbadser1,"New Delhi, India","RT @LBernstein16: I know that you’re giving me the run around until I just give up, @Uber_Support. Stop with this and just refund me. #THEW…"
HokeyMad121,,Hungry? Get £10 off your first Uber Eats order of £15 or more. Terms apply. Use my code at checkout: eats-ryang8455… https://t.co/cp4hk23iuq
itsroroniggaa,"Toronto, Ontario",Me 🤝 wasting money &amp; ordering Ubereats
trevorsnus,,@JoeBiden Yeah but Joe you did it by accident! You thought you were actually ordering #UberEats and you didn’t real… https://t.co/OMxELCyQbx
rich_demi,,"RT @professor_mgw: Lit so all imma say is 

nigga fuck ultimate
also fuck melee TOO nigga RELAX stop sucking that game's dick like god sent…"
karlieA_,,"@UberEats owes me food and the la two hours of my life back since I haven’t eaten, they were running late, the canc… https://t.co/6gkrFjzfji"
Uber_Support,Global,"@muskett147 Hi there, please follow our support page: https://t.co/EDM965XLWX so our Uber Eats support team can assist you."
missaly1113,,Guess I don’t eat dinner. only half of my order arrived. Wasn’t even my half. There’s a reason I don’t use @UberEats 😑
wigone1,"Mansfield, Ohio","RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
domi_to,,UberEats
Sparks80079110,"Arizona, USA","RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
_NamesBodBreed,ғᴛᴏ,RT @deejhx: ubereats &amp; doordash will really have u forgetting u even ordered food.
Fw00shSSB,"New York, USA","RT @professor_mgw: Lit so all imma say is 

nigga fuck ultimate
also fuck melee TOO nigga RELAX stop sucking that game's dick like god sent…"
davidjrizo,,@UberEats I’m having issue please help me
skuldarfin,"Melbourne, Victoria","RT @TheBrometheus: Imagine if the right to trial by combat was enshrined in the US Bill of Rights.

Consider the impact on US fitness level…"
whoisjjcarr,Houston MF Texas HOE!,UberEats drivers that don't leave your food at your door &lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;
ADIAZ_XYZ,"Long Island, NY","RT @professor_mgw: Lit so all imma say is 

nigga fuck ultimate
also fuck melee TOO nigga RELAX stop sucking that game's dick like god sent…"
shellsxxoo,,@Uber_Support I WOULD LIKE TO SEND YOU THE PICTURES AND FOOTAGE FROM YOUR DRIVER AND NO ONE HAS SAID NOTHING ABOUT… https://t.co/8mpBIDupTe
Insomniac2430,South Africa,@Lino_Lauza @Thubz_ @Kea_AM @Karabo_Mokgoko @UberEats And the frustrating part is they never do anything to improve… https://t.co/ZH9C7Zhl7U
Tweeeety86,"Riverside, CA","@UberEats likes to regularly accept my order, not assign a driver for an hour, not let me cancel without charging m… https://t.co/NFRY9W1nhe"
Uber_Support,Global,"@KLennonWrites Hi Kyra, we are happy to help. Please follow our support page: https://t.co/gMVwoF4OqB so our Uber E… https://t.co/ArBxPjRxIF"
wasup_Caramell,Down Souf ⚜️Louisiana⚜️,"@UberEats say, the restaurant said my food been ready since 9:45 &amp; y’all still haven’t come picked it up. Y’all fuc… https://t.co/Q3k7jnwtWR"
BlazeOfTruth,USA,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
UberEats,,"@sangamesh1221 Hello there,

Thank you for your message! In which country do you want to offer your services?"
Uber_Support,Global,"@TvWatkeys Hi Danielle, we are happy to help. Please follow our support page: https://t.co/XH0PHSGPzB so our Uber E… https://t.co/Na36PzKgLU"
kiridifferent_, 🇮🇩 | they/them | 20 | ID/EN,RT @drilknights: handing 6000 radioactive  Rocks to hr because how else will i get the ubereats girl to. shoot SLUGS up for me
UBEREATS_ayam,海っぺり,RT @osaka_uber: New bag👜 https://t.co/l59620YTXB
Jacob_Kronberg,,"@Chad_Maxwick @UberEats So proud of you Max, amazing accomplishment"
SandraQ21416819,United States,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
apollopine,"New York, USA","RT @professor_mgw: Lit so all imma say is 

nigga fuck ultimate
also fuck melee TOO nigga RELAX stop sucking that game's dick like god sent…"
tacosmexico1,"Los Angeles, CA","Let me hear you say.........
 TACOS MEXICO y Yaaa!!! @tacosmexico #since1975  #tacos #burritos #sopes #tortas… https://t.co/ivSuYa20iv"
roohighosh,"Mumbai, India","RT @GrumpyReviewer2: Google Scholar is having fun with us, perhaps @UberEats and @Deliveroo and @DoorDash can be on the review committee! I…"
fabpaiy,"Los Angeles, CA",RT @PlasticsBeyond: Food delivery co's @ubereats @grubhub @doordash @seamless @postmates @deliverydotcom @caviar can help reduce the tsunam…
lexii2xx,"Topanga, CA",RT @juggasaki: idea: ubereats but for prescription drugs
Lino_Lauza,Next to you. ,"@Noma_Sibanyoni @Karabo_Mokgoko @UberEats Same, I'm so tired of them."
Lino_Lauza,Next to you. ,"@Insomniac2430 @Thubz_ @Kea_AM @Karabo_Mokgoko Their customer service is horrible. They take forever to respond, if… https://t.co/KeZB1gkRSK"
juggasaki,,idea: ubereats but for prescription drugs
pullin69ways,"Charlotte, NC",RT @tgiferg: I get high and order ubereats twice in one night
phonijdbd,Calgary ,Get $20.00 Off Your First Uber Eats Order! Use My Referral Code: eats-diyara12uue  #UberEats promo code… https://t.co/qMQDDLnmmQ
chubbs0_,"New Orleans, LA",@UberEats count yo days
MarkWhi17021700,,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
Mu1cha7,,@baosan_ UberEATS
Robert4LMAD,🏝Land of the free💟🇺🇸☮️🌝🛐,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
lacho_b,USA- 🚫NO DMs -English only,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
swypapp,"Dubai, United Arab Emirates",RT @Devicebee: #Food #delivery app development for your business. #devicebee #UberEats #Zomato #delivero #talabat #careem https://t.co/KONk…
777Cuddy,Ft.Myers,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
NAEbaby_iX,milf’n,RT @deejhx: ubereats &amp; doordash will really have u forgetting u even ordered food.
ccinthemiddle,United States of America 🇺🇸,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
always4UTabitha,The World,"@UberEats I order smoothies for the nurses, and the person who picked it up stated that a police officer paid it ..… https://t.co/vMeuBVktAN"
thatsdemdem,"Cincinnati, OH","When you order from Ubereats, don't blame the driver if your food isn't what you ordered. do you expect me to unsea… https://t.co/xOGaN58Rlm"
Uber_Support,Global,"@Ash_Lunn Hi there, we are happy to help. Please follow our support page: https://t.co/Sp0Bv2jfgL so our Uber Eats… https://t.co/dVjgFN6mpu"
CloutTaking,,@UberEats  please tell me how i order my food then the place closes b4 ur shity drivers get there and u still charg… https://t.co/ycvsiIvrKW
luda_flo,Republic of Mauritius,"RT @GrumpyReviewer2: Google Scholar is having fun with us, perhaps @UberEats and @Deliveroo and @DoorDash can be on the review committee! I…"
Uber_Support,Global,"@villamick20 Hi Michael, we are happy to help. Please follow our support page: https://t.co/Fg3N9N8EXa so our Uber… https://t.co/RXfePRRk1h"
Kuziemus,Everywhere,"@UberEats what happens when only 2/3rds of your order arrives and it’s cold, poorly packaged and tasting stale? Cus… https://t.co/U2Zvn7KcM0"
HaakeTranspo,GRY | LCK | DCA | MSP | IND,While @DoorDash was down tonight I decided to give @UberEats a try. Complete waste of time. About to delete both apps. Not worth the effort.
Uber_Support,Global,"@vauxvonUK Hi there, we are happy to help. Please follow our support page: https://t.co/b4ktQbHcLR so our Uber Eats… https://t.co/u9YGckfdjo"
Uber_Support,Global,"@MichaelWsweeney Hi Michael, we are happy to help. Please follow our support page: https://t.co/pLa7lSOl6R so our U… https://t.co/WTAOvZU4E2"
indianawalsh,"Brooklyn, NY","@XiranJayZhao Very interested in that thread. Somehow, besides pizza, Chinese food seems to be the only thing that… https://t.co/0v8lwxWMhi"
loveboyz,On your tongue,Wonder if it is too late for ubereats or DoorDash 🤔
Saika00___,"Chicago, IL","RT @professor_mgw: Lit so all imma say is 

nigga fuck ultimate
also fuck melee TOO nigga RELAX stop sucking that game's dick like god sent…"
2Sum2DoSum_,USA,Hungry? Get 25% off (up to $7) your first 2 Uber Eats orders. Terms apply. Use my code at checkout: eats-joshg23464… https://t.co/WDBm7LmE0F
CalCinderella,,"@t_xu @OhHaiDavid @DoorDash Anyway, you lost my business and it’s clear to me that your company doesn’t care. I’ll… https://t.co/gUh9OoEIG4"
TheAngloGamer,UK,"Seriously considering going self employed as a cyclist delivery boy for either Deliveroo or UberEats, as other jobs… https://t.co/wpvKQUmArf"
Camm_IAm,,RT @deejhx: ubereats &amp; doordash will really have u forgetting u even ordered food.
destinyyalize,"Louisville, KY",@jamescharles there’s doordash and ubereats also
meanassashley,Uptown,If they had Honey Grow on Ubereats they would get all my money smh
Cardooo__,Largo 2 Eastover,RT @deejhx: ubereats &amp; doordash will really have u forgetting u even ordered food.
deejhx,,ubereats &amp; doordash will really have u forgetting u even ordered food.
wavebouncenade,snake/pt/wolf,"RT @professor_mgw: Lit so all imma say is 

nigga fuck ultimate
also fuck melee TOO nigga RELAX stop sucking that game's dick like god sent…"
cumrapika,,"out of doordash, skipthedishes and ubereats, skip is easily the worst rn might just delete it off my phone"
danbloomer1,New Zealand,@HandsMegan Don't think ubereats works but nothing to stop you going there!
urdaddiestjoke,,here's my uber eats code if u want one lol - eats-triciay153ue   https://t.co/hkAk1nnza6
Trumpgirl_45_,Texas proud 🇨🇱 USA 🇺🇸 ,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
ithurt__,"New York, USA",@UberEats fuck you give me my bread back
professor_mgw,New York City,"Lit so all imma say is 

nigga fuck ultimate
also fuck melee TOO nigga RELAX stop sucking that game's dick like god… https://t.co/olYJNNYBMX"
Uber_Support,Global,"@wilsy7588 Hi Wilsy, we are happy to help. Please follow our support page: https://t.co/5ki8384Oju so our Uber Eats… https://t.co/tFi0LfBVC6"
ithurt__,"New York, USA",@UberEats you have the worst food delivery app ever and you customer service representatives are beyond helpless
GregLammers,Small town and Rural USA,"RT @TheBrometheus: Imagine if the right to trial by combat was enshrined in the US Bill of Rights.

Consider the impact on US fitness level…"
Max_Nelson,"Los Angeles, CA","@UberEats can I get some help. Ordered at 7:10pm and said it would be 40 min. Now it’s 8:23, and it says expected time is 9pm?!??"
TheLastShodan,,"RT @TheBrometheus: Imagine if the right to trial by combat was enshrined in the US Bill of Rights.

Consider the impact on US fitness level…"
Uber_Support,Global,"@coffinsong Hi Josephine, we are happy to help. Please follow our support page: https://t.co/q8a77IgzGB so our Uber… https://t.co/1wNdkU9pdJ"
MrBCWalker,"Minneapolis, MN","RT @TheBrometheus: Imagine if the right to trial by combat was enshrined in the US Bill of Rights.

Consider the impact on US fitness level…"
politicalrefug3,Elevating,My Ubereats driver kinda cute lemme add a tip😏
ShieldVoC,"Stockholm, Sweden",RT @OriginalBHB: Made the mistake of ordering from @UberEats @Uber_Support again.  Of course thier in-app help is unresponsive. @ShieldVoC
silknymphe,𝔰𝔥𝔢/𝔥𝔢𝔯  🕊,UberEats oughta be ashamed of themselves! Wtf is a small order fee? You’re gonna charge me an extra $2 bc my order… https://t.co/bdFXsQZNCe
OriginalBHB,"Pickering, Ontario",Made the mistake of ordering from @UberEats @Uber_Support again.  Of course thier in-app help is unresponsive. @ShieldVoC
TheBrometheus,"Wisconsin, USA","Imagine if the right to trial by combat was enshrined in the US Bill of Rights.

Consider the impact on US fitness… https://t.co/JrN4o701Hg"
LGPurvis655,"NC, USA",@Uber Sent DM to UberEats Support at 10:47PM...still don't have response of issue with ordering food online...not e… https://t.co/uMWSpjTIvc
EsePingu,Mexico City,@Mg_echeverria @UberEats_mex Happy ending!!! https://t.co/rmaw3pk98o
Uber_Support,Global,"@superdons Hi there, we are happy to help. Please follow our support page: https://t.co/sY5ckbgWJa so our Uber Eats… https://t.co/2HqX86jVou"
Broglesbyy,wish a nigga woods,Why isn’t Cookout on Ubereats https://t.co/7N2nwPjvXP
mwitticg,"Louisiana, USA","RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
AlexTheBlueFox,"Tukwila, WA",So far @UberEats is way better than @DoorDash because they actually deliver my food on time!
cpotelo,9/12 Ocean Grown,@Uber @UberEats these restaurants need delivery pick up if you want us picking up food late night.... literally mak… https://t.co/Vo0vqcZEMX
JudyBowen1,"Oroville, CA","RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
WayneGMadden,"Gateshead, England","Very bad food poisoning last night a combination of @ubereats_uk delivery from @McDonaldsUK, may need to go to hosp… https://t.co/gsCyHINdXA"
Mjorees,IN,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
asvprvqui,"Lawrenceville, GA",@UberEats cancel my order please! The restaurant closed at 10:30 and no one picked it up for it to even be delivere… https://t.co/OiifArxxVk
shiyakazii,:o),"hi! @Waitrapp your customer service is literal Garbage lmao

i had a very entertaining conversation but i have neve… https://t.co/9spWYxvFcg"
Brunetteasshley,pangea,waiting on Ubereats to act right https://t.co/7Yp0jJo3Oo
SpittaTarantino,"Bronx, NY",Somehow you don’t know if I have my food yet my order “may arrive soon” @UberEats https://t.co/tQkbC173rG
Uber_Support,Global,"@Mysterybeatzuk Hi Marc, please follow our support page: https://t.co/EDM965XLWX so our Uber Eats support team can assist you."
Cpt_Eggbeard,Inside my mind,"RT @DDsulzbach: Yo, If you want food delivered during all this covid-19 madness use my code to Get $7 off your first Uber Eats order. my co…"
thro_e,Everywhere,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
djsbu,Global,"RT @lec_catering: LEC Catering is now available on UberEATS, if you are in centurion we based at Laugardia Building next to centurion mall.…"
djsbu,Global,"RT @Tman__touch: No need to worry when you are on self quarantine coz @lec_catering  delivers on UberEATS 😋

● Beef stew : R38.00
● Mogodu…"
kobie3408,,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
rabbitfishfrog,,"@UberEats I'm getting ""Internal Server Error"" on checkout in Australia"
cyndi_SuHu,,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
DealsHeaven4u,United States,Use LYFT code MIGUELT for first ride free up to $50! Hungry? Download UberEats &amp; use promo code eats-miguelt10 for $10 off first order! 😀
_Natural_Bee,Turn Around👀,Waiting on my @UberEats and then I’m a see how #FatalAffair is or watch @deoncole ... or both. Who knows
asvprvqui,"Lawrenceville, GA",@UberEats y’all let the restaurant close and now I’m out of $30 and food!! 😑
Sinnersaint39,,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
OmgItzJamal,,"@UberEats I ordered uber eats for delivery, the restaurant contacts me saying they do not have the item and I cance… https://t.co/tcJhcautBX"
Uber_Support,Global,"@covid19wedding Hi there, please follow our support page: https://t.co/EDM965XLWX so our Uber Eats support team can assist you."
6_6_8_8,ʚ✟ɞ ,@ZO_NI_san ubereats
djsbu,Global,"RT @lec_catering: On Today's menu 😋

Full chicken R110
Quarter leg 40
Hard body R45
Sticky wings R40
Beef stew R45

LEC Catering on UberEAT…"
djsbu,Global,"RT @lec_catering: On Our Menu Today 😋😋

● Chuck Steak : R65
● Cow Heel : R45

LEC Catering on UberEATS 

If you are around centurion you ca…"
Uber_Support,Global,"@swanseagas Hi there, please follow our support page: https://t.co/EDM965XLWX so our Uber Eats support team can assist you."
djsbu,Global,"RT @lec_catering: On Our Menu Today 😋

● Mogodu : R40
● Beef Stew : R45

LEC Catering on UberEATS 

If you are around centurion you can pla…"
Bigdom67344066,,@UberEats hello I have been waiting over an hour for my food and the driver won't respond to me
GinjaFox,"Portland, OR","@UberEats Hey, so how come I can no longer order from this location? I haven’t moved since the last time I ordered… https://t.co/svNX04G3da"
NtateKhiba,South Africa,"RT @lec_catering: On Today's menu 😋

● Chuck steak R65
● Beef stew R45
● Mogodu R40

LEC Catering on UberEATS 

If you are around centurion…"
theajbray,210,ion trust these niggas ion care bout nothin ion even trust the nigga wit the ubereats
Uber_Support,Global,"@Dicksonn96 Hi James, we are happy to help. Please follow our support page: https://t.co/J4zIdsXQCI so our Uber Eat… https://t.co/eTA8yNyrLJ"
kohwtbs,"New York, USA","In these trying times, at least @UberEats makes sure their drivers can eat even if they have to STEAL THEIR CUSTOMERS’ ORDERS to do so"
Carolin43698718,,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
Uber_Support,Global,"@Keaton_Groves Hi there, please follow our support page: https://t.co/EDM965XLWX so our Uber Eats support team can assist you."
FlippingCoins2,,@UberEats can’t cancel my EatPass fast enough. 3rd time this week food was delivered to the wrong house with no way… https://t.co/RxSkodltDF
__kimmyKimKim,"Brooklyn, NY",Ubereats refunded a full amount that was only missing one item. Look at god
JanMareeSmith2,"Hobart, Tasmania","RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
djsbu,Global,"RT @lec_catering: On Today's menu 😋

● Chuck steak R65
● Beef stew R45
● Mogodu R40

LEC Catering on UberEATS 

If you are around centurion…"
Uber_Support,Global,"@ImBowenToGetYa Hi Harry, please follow our support page: https://t.co/EDM965XLWX so our Uber Eats support team can assist you."
wf_oj, 尸魂界,"RT @nnnnoooo007: UberEats in TAIWAN

https://t.co/vmPFySwiSp https://t.co/nyTN4NRubV"
apatheticfxck,「✘」18+ || SV || SS || mouse「✘」,His UberEats spending is through the roof.
TraciRai,"Seattle, WA","Related: tfw when your mouth is dying, but this ubereats costed real American dollars, so you are eating every bite anyway."
Fawxli,"Miami, FL",Gotta love UberEats. Ordered pizza and salad. Got pizza. No salad.
MACCMILLIAON,CA/PDX/WA,"Out of all the food carrier services out there @UberEats is the WORST one. They’ll let anyone work for them , no cu… https://t.co/Y3IbsxKmy1"
Tapatio_Thunder,USA,@neferteeny @Uber Uber is a good company and will address this. You can't blame an entire organization for one scum… https://t.co/huCEoBwFM1
Laura4Senate,"Charlotte, NC",RT @filsdelucie1: My Ubereats is 30 min late.  Dafuk is Kamala doing up in that senate?  This bullshit. #huffpostHeadlines https://t.co/1tV…
suhpone,,my boss called me to scold me for ordering through Ubereats and said that next time I’m hungry he’ll just have my f… https://t.co/ilDULzPSbN
Deviant_Onyx,Yo Daddy Checkbook,RT @tgiferg: I get high and order ubereats twice in one night
tgiferg,,I get high and order ubereats twice in one night
itsQUEENbri_,ATL.,"@__layahhhh HE NEVER EVEN SAW ME, this was all based off a phone call. I don’t even have a photo on my UberEats profile 😭😭😭"
menichiellk,,@UberEats this is the 3rd time this week our order has been left at some random house. No way to contact the driver… https://t.co/a0HcoTsL8K
noraboros_,:) ,Ubereats my face
Uber_Support,Global,"@AmandaELFuller Hi Amanda, we are happy to help. Please follow our support page: https://t.co/135SaCGxbs so our Ube… https://t.co/r8277T7TPx"
BigMamaThang_,the land.,@UberEats y’all full of shit bro.
jaywilson76226,,"@wesyang @UberEats @Uber 
How will you verify the race of restaurant owners?"
My_Usernombre,"Carolina, Puerto Rico",Just made my first and last order through @UberEats never again bro 😂
Teecee22155635,,"RT @Teecee22155635: 🍔🍟🍗Get $10.00 Off 2 Orders Through Uber Eats!
**Use My Referral Code**:
 eats-cecea29yui 
#UberEats promo code food del…"
RemainHumble215,"Philadelphia, PA",@smokeysar Just ubereats it
Uber_Support,Global,"@SabreenHab Hi Fazal, we are happy to help. Please follow our support page: https://t.co/kT0Cw3NyJT so our Uber Eat… https://t.co/zbce98hVNK"
JeanaMamer,"Los Angeles, CA","RT @JeanaMamer: You know you want to indulge that craving. 😈😇
We also deliver via @postmates @grubhub ubereats gourmetcourier 
#honeytruffl…"
KarenSw38548457,,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
jccbatti,Sri Lanka,"Need Dum Biryani in Batticaloa Call 0771834045 &amp; pre Order we Deliver Food ! 

Follow @jccbatti to get Food Deliver… https://t.co/q8I5xKYt1x"
1GoodShepherd,"Wisconsin Rapids, WI","RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
NickC10,"West Virginia, USA","RT @ColasantesWV: Let’s celebrate the weekend arriving together‼️‼️ 

Carryout, Grubhub, UberEats, or Curbside...Colasantes your way! 

#ea…"
Uber_Support,Global,"@kibkibs Hi there, please follow our support page: https://t.co/EDM965XLWX so our Uber Eats support team can assist you."
JeanaMamer,"Los Angeles, CA","You know you want to indulge that craving. 😈😇
We also deliver via @postmates @grubhub ubereats gourmetcourier… https://t.co/sb6WAPZNKC"
TheeRealSafia,,@UberEats i ordered food and cancelled my order and never got my money back🤬
dan_p_simpson,"Toronto, Ontario",@hyperplanes I went to UberEats. But all power to you if you’re going for authenticity.
GakinEn,H : @_jun_minami_,It's all fun and games until I really find an ubereats at my door delivering pickles.
agrahamstadnyk1,"Montréal, Québec",Never ordering from Skip the Dishes again lol. Would much rather pay 5-7 dollars for delivery on UberEats so the ri… https://t.co/eDqGKEknVH
sumanebot,Sri Lanka,RT @TariPilapitiya: Making all #lka mamas proud with our manners on #UberEats 😊 also eating cows milk in a salad sounds equivalent to pinea…
carmelopapi,,RT @Vindemiaee: I swear I thought niggas be lying in the captions of their videos BUT tonight I got head from my UberEats Driver....complet…
challengersma,"Michigan, USA","RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
Uber_Support,Global,"@OliviaDeevs Hi Olivia, we are happy to help. Please follow our support page: https://t.co/GokfdMKx97 so our Uber E… https://t.co/X1DAySsZus"
Phat_Kayla,"Queens, NY",This UberEats driver has to be high or something 😒
ShieldVoC,"Stockholm, Sweden",RT @TegrahH: @Uber_Support ordered 2 pizzas &amp; a ziti. didnt get both pies. called Downtown Grill and Pizza Kitchen to understand why &amp; they…
BossBeastNasty,Metro Hell,@jeanlucpeakhard they day they added it to ubereats was a real game changer
TegrahH,,@Uber_Support ordered 2 pizzas &amp; a ziti. didnt get both pies. called Downtown Grill and Pizza Kitchen to understand… https://t.co/sKulTMV7sP
GrabbyPenguin,,"@UberEats wtf?  We ordered food through you, and 2 different drivers came to pick us up????  Stop sending drivers t… https://t.co/rTrQREolgW"
ShieldVoC,"Stockholm, Sweden","RT @WilliamBotchway: @UberEats @Uber_Support since y’all don’t have a phone number, we’re doing this in public. I’ve been waiting 90+ minut…"
angelicxchaos,ʀᴘ ᴀᴄᴄᴏᴜɴᴛ ʙʏ sᴀɢᴇ x ᴍᴀᴛᴜʀᴇ ᴄᴏɴᴛᴇɴᴛ x ᴇɪɢʜᴛᴇᴇɴ ᴘʟᴜs ᴏɴʟʏ x sʜɪᴘᴘᴇᴅ,"Oh . . . UberEats-? 

( Who the fuck is Sven-? )

She didn't order anything. 
Oh.

Chocolate . . . very much needed."
SKlupe,"Sydney, New South Wales",@isiahleavai Yeah haha we just tryna find somewhere to go dinner. Doesn’t have to be round Eastgardens or botany th… https://t.co/kvJM0PZoJM
WilliamBotchway,Cleveland?????,"@UberEats @Uber_Support since y’all don’t have a phone number, we’re doing this in public. I’ve been waiting 90+ mi… https://t.co/qBKK7sEsuk"
Uber_Support,Global,"@jatski99 Hi there, we are happy to help. Please follow our support page: https://t.co/NTiwekvGYa so our Uber Eats… https://t.co/rGVhXbTu3q"
Uber_Support,Global,"@LSitki Hi Leyla, please follow our support page: https://t.co/EDM965XLWX so our Uber Eats support team can assist you."
Uber_Support,Global,"@grey_harpoon Hi Kenny, we are happy to help. Please follow our support page: https://t.co/yt8RnN2FyG so our Uber E… https://t.co/0vqbWp3UWD"
__Luminite___,"California, why? don't know",@HenryZhangYT @UberEats Californians amerite Henry?
manal_94a,,"@delivery promo code  @uber @Restaurant @Ubereats @postmates  @grubhub 

Uber $20 off code manala5921ui

Hungry? ??… https://t.co/xZOl1jo3Og"
Uber_Support,Global,"@SJ_Moore95 Hi there, we are happy to help. Please follow our support page: https://t.co/ohY2TuHw5J so our Uber Eat… https://t.co/crz5Bg13Je"
ell_888,,"RT @Teecee22155635: 🍔🍟🍗Get $10.00 Off 2 Orders Through Uber Eats!
**Use My Referral Code**:
 eats-cecea29yui 
#UberEats promo code food del…"
Teecee22155635,,"🍔🍟🍗Get $10.00 Off 2 Orders Through Uber Eats!
**Use My Referral Code**:
 eats-cecea29yui 
#UberEats promo code food… https://t.co/AZvsC5Hsz7"
GAgirlXO,United States,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
granadagains,,"@UberEats Hey, your driver apparently delivered my pizza to someone hungrier than me and my family! Thanks!"
shordy444,"Mount Vernon, WA",I was ridiculously high last night and I ordered food from UberEats and passed tf out and I woke up to go to work a… https://t.co/chj6YuVNPt
Uber_Support,Global,"@amybarlow7 Hi Amy, we are happy to help. Please follow our support page: https://t.co/eUlJxFYMg2 so our Uber Eats… https://t.co/MXFD9PbUwu"
Uber_Support,Global,"@ShaaamiKhan Hi there, we are happy to help. Please follow our support page: https://t.co/nUUVMBbEgx so our Uber Ea… https://t.co/Q5ajhpANa7"
wydstepsisss,"Atlanta, GA",Fuck @UberEats worst customer service ever
hayj_,"Los Angeles, CA",I wish I approached everything in life with the same excitement I show my Uber eats delivery driver @UberEats
nickelsweat,"Buffalo, NY","@UberEats driver really dropped off our food on the wrong porch, and gave us the wrong order too. Pick a new side hustle."
Uber_Support,Global,"@karma_primo Hi there, we are happy to help. Please follow our support page: https://t.co/SLbmw2szTq so our Uber Ea… https://t.co/X0tWPoIw6g"
YannickOda,,@paigecardona Get booze through ubereats.
